q1,q2,q3,q4,q5,q6,q7,q29,q58,q65,q67,weight,stratum,psu
4,1,1,2,A C E,1.65,88.91,1,3,1,1,0.2415,103,16294
6,1,2,2,C,1.52,78.93,4,,1,1,0.7032,103,16294
4,2,1,2,C,1.78,49.9,1,1,1,2,0.8453,103,16294
4,1,1,2,E,1.68,54.89,1,1,1,2,0.8614,103,16294
7,2,2,2,C,1.88,90.72,1,2,1,1,0.7872,103,16294
7,2,3,2,E,1.93,97.52,1,1,1,1,0.5081,103,16294
5,1,3,2,E,1.57,71.22,1,4,1,1,0.4727,103,16294
4,1,2,2,C,1.68,66.23,1,1,1,1,0.7032,103,16294
5,2,2,2,E,1.85,64.86,1,3,1,2,0.7834,103,16294
6,2,3,2,E,1.75,68.04,1,2,1,4,0.5081,103,16294
6,1,3,2,E,1.55,68.04,1,1,1,1,0.4727,103,16294
6,2,2,2,C,1.85,70.31,1,2,1,2,0.7872,103,16294
7,2,4,2,E,1.9,77.11,1,1,1,3,1.7727,103,16294
6,1,3,2,E,1.6,48.54,1,3,1,1,0.4727,103,16294
6,2,3,2,C,,,1,1,1,1,0.3029,103,16294
5,2,2,2,C,1.88,83.92,1,7,1,2,0.7872,103,16294
6,2,4,2,E,1.83,99.79,1,1,1,1,1.7727,103,16294
5,1,3,2,E,,,1,1,1,1,0.4727,103,16294
6,2,3,2,C,1.85,104.33,1,6,1,2,0.3029,103,16294
5,2,2,2,C,1.7,68.04,1,,1,3,0.7872,103,16294
6,2,3,1,,1.93,68.04,1,3,1,,0.4349,103,16294
6,2,3,2,E,1.85,56.7,1,7,1,2,0.5081,103,16294
5,2,2,2,C,1.73,60.33,1,1,1,2,0.7872,103,16294
6,2,4,1,C,1.8,68.04,1,3,1,4,1.413,103,16294
6,1,3,2,E,1.65,54.43,1,1,1,1,0.4727,103,16294
6,2,3,2,A C,1.83,97.07,1,1,1,1,0.1212,103,16294
4,2,2,2,E,1.8,68.04,1,,1,2,0.7834,103,16294
6,1,3,2,E,1.6,56.7,1,1,1,1,0.4727,103,16294
6,2,3,2,C,1.93,111.13,1,2,1,2,0.3029,103,16294
6,2,3,2,E,1.88,99.79,1,1,1,4,0.5081,103,16294
5,1,2,2,E,1.5,40.82,1,1,1,1,1.1759,103,16294
5,2,3,2,E,1.8,61.24,1,2,1,4,0.5081,103,16294
7,1,3,2,C,1.68,97.98,3,7,1,1,0.8148,103,16294
6,1,3,1,,1.5,33.11,3,1,1,2,0.457,103,16294
4,2,1,2,C E,1.78,75.3,1,1,1,2,3.7499,300,16294
6,2,3,2,C,1.78,64.86,1,1,1,1,3.696,300,16294
6,1,3,2,C,1.57,86.18,1,1,1,1,3.4161,300,16294
4,1,2,2,CD,1.57,60.78,1,1,1,4,3.7273,300,16294
3,1,1,2,C,1.65,82.56,3,1,1,1,3.4617,300,16294
4,1,1,2,C,1.6,70.76,3,1,1,3,3.4617,300,16294
6,1,3,2,C,1.7,131.54,1,1,1,1,3.4161,300,16294
6,2,3,2,C,1.88,70.76,1,1,1,2,3.696,300,16294
6,1,2,2,C,1.7,127.01,1,1,1,1,3.7273,300,16294
3,2,1,2,C,1.78,107.96,1,,,,3.9718,300,16294
6,2,2,2,C,1.73,63.5,1,1,1,1,3.9575,300,16294
4,1,2,2,C,,,3,1,1,1,3.7273,300,16294
4,2,1,2,E,1.93,73.03,1,1,1,2,3.7499,300,16294
,2,,2,C,,,1,1,1,2,3.696,300,16294
7,2,3,2,C,1.83,75.3,1,1,1,2,3.696,300,16294
4,1,2,2,C,1.7,79.83,4,2,1,1,3.7273,300,16294
4,1,1,2,C,1.6,104.33,1,1,1,1,3.4617,300,16294
6,1,3,2,C,1.6,68.95,1,1,1,3,3.4161,300,16294
6,1,3,2,C,1.5,66.23,1,7,1,1,3.4161,300,16294
6,2,3,2,A C,1.7,88.45,1,7,1,2,1.4999,300,16294
5,1,1,2,C,,,1,1,1,1,3.4617,300,16294
4,1,1,2,C,1.68,53.52,1,1,1,4,3.4617,300,16294
5,1,2,2,C,,,1,1,1,1,3.7273,300,16294
6,2,3,2,C,1.8,63.5,1,6,1,2,3.696,300,16294
4,2,1,2,C,1.83,88.91,1,1,1,2,3.9718,300,16294
6,2,3,1,,1.93,90.27,1,1,4,1,3.9913,300,16294
6,2,3,2,C,1.78,77.11,1,2,1,2,3.696,300,16294
5,1,2,2,C,1.6,56.7,1,2,1,1,3.7273,300,16294
4,1,1,2,C,1.5,50.35,1,1,1,1,3.4617,300,16294
6,1,3,2,A C,1.68,58.97,1,1,1,2,1.4023,300,16294
6,1,3,2,C,1.45,54.43,1,2,1,1,3.4161,300,16294
5,1,2,2,C,1.63,47.17,1,2,1,3,3.7273,300,16294
5,2,2,2,C,1.68,64.41,1,1,1,1,3.9575,300,16294
5,2,3,2,C,1.83,92.99,1,,1,1,3.696,300,16294
5,1,2,2,C,1.5,52.62,1,1,1,2,3.7273,300,16294
4,1,1,2,C,1.75,61.24,1,1,1,2,3.4617,300,16294
5,2,2,2,C,1.85,172.37,1,3,1,1,3.9575,300,16294
6,2,3,1,C,1.83,55.79,1,1,1,1,3.9913,300,16294
4,1,2,2,C,1.6,70.76,1,1,1,1,3.7273,300,16294
6,1,3,2,C,,,1,1,1,1,3.4161,300,16294
3,1,1,2,C,1.6,76.2,1,1,1,4,3.4617,300,16294
5,1,2,2,C,1.68,68.04,1,1,1,3,3.7273,300,16294
4,1,1,2,C,1.55,52.16,1,1,1,4,3.4617,300,16294
5,2,2,2,C,1.68,97.52,1,1,1,4,3.9575,300,16294
3,1,1,2,C,1.57,79.38,1,1,1,1,3.4617,300,16294
6,2,3,2,C,1.73,84.37,1,2,1,1,3.696,300,16294
5,1,2,2,C,1.63,77.11,1,1,1,1,3.7273,300,16294
3,1,1,2,E,1.73,50.8,1,1,1,4,3.4912,300,16294
5,1,2,1,E,,,1,,,,3.6828,300,16294
